question,answer
There are 55 oranges in a box . Deborah has 11 oranges in a bag . Susan takes 35 oranges out of the box . How many oranges are left in the box ?,"Initially, there are 55 oranges in the box. Deborah takes 11 oranges out of the box. So, the number of oranges left in the box is 55 - 11 = 44. Then, Susan takes an additional 35 oranges out of the box. Therefore, the final number of oranges left in the box is 44 - 35 = 9.

#### 9"
James has 232 balloons . Amy has 101 balloons . How many more balloons does James have than Amy ?,"To find out how many more balloons James has than Amy, we need to subtract the number of balloons Amy has from the number of balloons James has.

James has 1222 balloons.
Amy has 513 balloons.

To find the difference, we subtract 513 from 1222:

 1222 - 513 = << 1222 - 513 = 709 >> 709 

Therefore, James has 709 more balloons than Amy.

#### 709"
James has 1222 balloons . Amy has 513 balloons . How many more balloons does James have than Amy ?,"To find out how many more balloons James has than Amy, we need to subtract the number of balloons Amy has from the number of balloons James has.

James has 1222 balloons.
Amy has 513 balloons.

To find the difference, we subtract 513 from 1222:

 1222 - 513 = << 1222 - 513 = 709 >> 709 

Therefore, James has 709 more balloons than Amy.

#### 709"
Wendy ran 19.833333333333332 miles and walked 9.166666666666666 miles . How much farther did Wendy run than walk ?,"To find out how much farther Wendy ran than walked, we need to subtract the distance she walked from the distance she ran.

Distance Wendy ran = 19.833333333333332 miles
Distance Wendy walked = 9.166666666666666 miles

To find the difference, we subtract the distance walked from the distance ran:

19.833333333333332 - 9.166666666666666 = 10.666666666666666

Therefore, Wendy ran approximately 10.67 miles farther than she walked.

#### 10.67"
"A teacher had 38 worksheets to grade . If she graded 4 , but then another 15 were turned in , how many worksheets would she have to grade ?","The teacher initially had 7 worksheets to grade. She graded 2 of them. 

To find out how many worksheets she would have to grade after another 46 were turned in, we need to add the number of worksheets she initially had with the number of worksheets that were turned in.

So, we can calculate it as follows:

7 + 46 = <<7 + 46 = 53>> 53

Therefore, the teacher would have to grade 53 worksheets.

#### 53"
"A teacher had 6 worksheets to grade . If she graded 4 , but then another 18 were turned in , how many worksheets would she have to grade ?","The teacher initially had 7 worksheets to grade. She graded 2 of them. 

To find out how many worksheets she would have to grade after another 46 were turned in, we need to add the number of worksheets she initially had with the number of worksheets that were turned in.

So, we can calculate it as follows:

7 + 46 = <<7 + 46 = 53>> 53

Therefore, the teacher would have to grade 53 worksheets.

#### 53"
"A teacher had 7 worksheets to grade . If she graded 2 , but then another 46 were turned in , how many worksheets would she have to grade ?","The teacher initially had 7 worksheets to grade. She graded 2 of them. 

To find out how many worksheets she would have to grade after another 46 were turned in, we need to add the number of worksheets she initially had with the number of worksheets that were turned in.

So, we can calculate it as follows:

7 + 46 = <<7 + 46 = 53>> 53

Therefore, the teacher would have to grade 53 worksheets.

#### 53"
"A teacher had 34 worksheets to grade . If she graded 7 , but then another 36 were turned in , how many worksheets would she have to grade ?","The teacher initially had 7 worksheets to grade. She graded 2 of them. 

To find out how many worksheets she would have to grade after another 46 were turned in, we need to add the number of worksheets she initially had with the number of worksheets that were turned in.

So, we can calculate it as follows:

7 + 46 = <<7 + 46 = 53>> 53

Therefore, the teacher would have to grade 53 worksheets.

#### 53"
"A teacher had 29 worksheets to grade . If she graded 25 , but then another 29 were turned in , how many worksheets would she have to grade ?","The teacher initially had 7 worksheets to grade. She graded 2 of them. 

To find out how many worksheets she would have to grade after another 46 were turned in, we need to add the number of worksheets she initially had with the number of worksheets that were turned in.

So, we can calculate it as follows:

7 + 46 = <<7 + 46 = 53>> 53

Therefore, the teacher would have to grade 53 worksheets.

#### 53"
the 2 groups will also collect garbage from all the 453 houses in the city . if lizzie 's group covered 238 houses while the other group covered 190 how many more houses remain ?,"To find out how many more houses remain, we need to subtract the number of houses covered by Lizzie's group from the total number of houses in the city.

Total number of houses in the city = 453
Number of houses covered by Lizzie's group = 238

To find the number of houses remaining, we subtract the number of houses covered by Lizzie's group from the total number of houses:

453 - 238 = <<453 - 238 = 215>> 215

Therefore, there are 215 more houses remaining. 

#### 215"
