question,numbers,equation,digit_answer,group_nums,body,ques,type,variation type,id,result
"Paul got a box of number0 crayons for his birthday . At the end of the school year , he only had number1 left . How many crayons had been lost or given away ?","[479,134]","[-,number0,number1]",345,"[4,5,6,23,24,25,35,36,37]","Paul got a box of number0 crayons for his birthday . At the end of the school year , he only had number1 left .",How many crayons had been lost or given away ?,,[],270," ####$345$

Paul got a box of 479 crayons for his birthday. At the end of the school year, he only had 134 left. 

To calculate how many crayons were lost or given away, we subtract the number of crayons he had left from the number he started with:

$479 - 134 = 345$

So, $345$ crayons were lost or given away."
"For Halloween Sarah received number0 pieces of candy from neighbors and number1 pieces from her older sister . If she only ate number2 pieces a day , how long would the candy last her ?","[66,15,9]","[/,+,number0,number1,number2]",9,"[3,4,5,10,11,12,21,22,23,31,32,33]","For Halloween Sarah received number0 pieces of candy from neighbors and number1 pieces from her older sister . If she only ate number2 pieces a day ,",how long would the candy last her ?,,[],280,"To find out how long the candy will last Sarah, we need to divide the total number of candy pieces by the number of candy pieces she eats per day.

First, we need to calculate the total number of candy pieces Sarah received. She received 66 pieces from neighbors and 15"
"Tim got number0 nickels and number1 dimes for shining shoes , and in his tip jar found number2 dimes and number3 half - dollars . How much money did Tim get ?","[3,13,7,9]","[+,+,+,*,number0,0.05,*,number1,0.1,*,number2,0.1,*,number3,0.5]","6,65","[1,2,3,4,5,6,16,17,18,19,20,21,28,29,30]","Tim got number0 nickels and number1 dimes for shining shoes , and in his tip jar found number2 dimes and number3 half - dollars .",How much money did Tim get ?,,[],300,"Let's break down the problem step by step to find out how much money Tim received.

1. Tim got 3 nickels. Each nickel is worth 5 cents, so the value of the nickels is:
   $3 \times 5 = 15$ cents.

2. Tim also got 13 dimes. Each dime is worth 10 cents, so the value of the dimes is:
   $13 \times 10 = 130$ cents.

3. In his tip jar, Tim found 7 dimes, which is worth:
   $7 \times 10 = 70$ cents.

4. Tim also found 9 half-dollars. Each half-dollar is worth 50 cents, so the value of the half-dollars is:
   $9 \times 50 = 450$ cents.

Now, let's add up all the values to find out how much money Tim got in total:

$15$ cents (nickels) + $130$ cents (dimes) + $70$ cents (tip jar dimes) + $450$ cents (half-dollars) = $665$ cents.

So, Tim received a total of 665 cents.

####665"
"Amy had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files , how many files were still on her flash drive ?","[26,36,48]","[-,+,number0,number1,number2]",14,"[1,2,3,5,6,7,16,17,18,28,29,30]","Amy had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files ,",how many files were still on her flash drive ?,,[],326,"To find the number of files that were still on Amy's flash drive, we need to subtract the number of deleted files from the total number of files she had initially.

Amy had 26 music files and 36 video files, so the total number of files she had initially is $26 + 36 = 62$.

If she deleted 48 files, we can subtract that from the initial total: $62 - 48 = 14$.

Therefore, Amy had 14 files still on her flash drive."
It took Amanda number0 hours to stroll to Kimberly 's house at number1 miles per hour . How far is it between Amanda 's house and Kimberly 's house ?,"[2,4]","[*,number0,number1]",8,"[2,3,4,11,12,13,26,27,28]",It took Amanda number0 hours to stroll to Kimberly 's house at number1 miles per hour .,How far is it between Amanda 's house and Kimberly 's house ?,,[],360,"To find the distance between Amanda's house and Kimberly's house, we can use the formula: distance = speed × time. 

Given that Amanda strolled to Kimberly's house at a speed of 4 miles per hour and it took her 2 hours, we can substitute these values into the formula. 

distance = 4 miles/hour × 2 hours

Calculating this, we get:

distance = 8 miles

Therefore, the distance between Amanda's house and Kimberly's house is 8 miles. 
####"
"Oliver was organizing his baseball cards in a binder with number0 on each page . If he had number1 new cards and number2 old cards to put in the binder , how many pages would he use ?","[3,2,10]","[/,+,number1,number2,number0]",4,"[9,10,11,17,18,19,21,22,23,34,35,36]","Oliver was organizing his baseball cards in a binder with number0 on each page . If he had number1 new cards and number2 old cards to put in the binder ,",how many pages would he use ?,,[],363," Here is the step-by-step solution for the given math problem:

Oliver was organizing his baseball cards in a binder with 3 on each page . If he had 2 new cards and 10 old cards to put in the binder , how many pages would he use ?

$2$ new cards need $2/3 = 0.66 \approx 1$ page.  

$10$ old cards need $10/3 = 3 + 1 = 4$ pages.

Total number of pages needed is $1 + 4 = 5$ pages.  

#### 5$"
Peter starts with number0 erasers . Bridget gives Peter number1 more . How many erasers does Peter end with ?,"[8,3]","[+,number0,number1]",11,"[2,3,4,8,9,10,16,17,18]",Peter starts with number0 erasers . Bridget gives Peter number1 more .,How many erasers does Peter end with ?,,[],364," ####$8 + 3 = 11$

Peter starts with 8 erasers. Bridget gives Peter 3 more erasers. 
To calculate the total number of erasers Peter ends with, we add the number of erasers Peter started with and the number of erasers Bridget gave him:

$8 + 3 = 11$

Therefore, Peter ends with 11 erasers."
Ezra drew a white line that was number0 inches long . Then he drew a blue line that was number1 inches long . How much longer was the white line than the blue line ?,"[7.666666666666667,3.3333333333333335]","[-,number0,number1]",4.333333333333333,"[6,7,8,18,19,20,31,32,33]",Ezra drew a white line that was number0 inches long . Then he drew a blue line that was number1 inches long .,How much longer was the white line than the blue line ?,,[],392,"Hello! I'd be happy to help you with the math problem. Let's break it down step by step.

The length of the white line is given as 7.666666666666667 inches, and the length of the blue line is given as 3.3333333333333335 inches. To find the difference in length between the two lines, we can subtract the length of the blue line from the length of the white line.

So, the calculation would be:

$7.666666666666667 - 3.3333333333333335$

When we subtract these two values, we get:

$4.333333333333334$.

Therefore, the white line is #### inches longer than the blue line.
"
"If Karen sold number0 boxes of Tagalongs , how many cases of number1 boxes does Karen pickup from the cookie mom ?","[36,12]","[/,number0,number1]",3,"[2,3,4,11,12,13,18,19,20]","If Karen sold number0 boxes of Tagalongs ,",how many cases of number1 boxes does Karen pickup from the cookie mom ?,,[],450," ###$3$####

Karen sold 36 boxes of Tagalongs.
Each case contains 12 boxes.
To find out how many cases Karen needs, we divide the number of boxes sold by the number of boxes in a case:
$36$ boxes $\div 12$ boxes per case $=$ $3$ cases

Therefore, Karen needs $3$ cases of 12 boxes."
"Jessica spent number0 on a cat toy , and a cage cost her number1 . What was the total cost of Jessica 's purchases ?","[10,22,11,73]","[+,number0,number1]","21,95","[2,3,4,14,15,16,23,24,25]","Jessica spent number0 on a cat toy , and a cage cost her number1 .",What was the total cost of Jessica 's purchases ?,,[],482,"To find the total cost of Jessica's purchases, we need to add the cost of the cat toy and the cost of the cage. 

The cost of the cat toy is given as 10. 

The cost of the cage is given as 22. 

To find the total cost, we add the cost of the cat toy and the cost of the cage: 

$10 + $22 = $32. 

Therefore, the total cost of Jessica's purchases is $32. 

#### 32"
